year,zipcode,gentrifying_pct_chg_income_homeval_educ,gentrifying_pct_chg_income_homeval,gentrifying_pct_chg_homeval,key
2016,32460,0,0,0,2016_32460
2017,32460,0,0,0,2017_32460
2013,32610,1,1,1,2013_32610
2014,32610,0,0,0,2014_32610
2013,32630,0,0,0,2013_32630
2014,32630,0,0,0,2014_32630
2015,32630,0,0,1,2015_32630
2016,32630,0,0,1,2016_32630
2017,32630,0,0,0,2017_32630
2015,32680,0,0,0,2015_32680
2016,32680,1,1,1,2016_32680
2013,32750,1,1,1,2013_32750
2014,32750,1,1,1,2014_32750
2015,32750,1,1,1,2015_32750
2016,32750,0,0,0,2016_32750
2013,32760,1,1,1,2013_32760
2014,32760,0,0,1,2014_32760
2015,32760,1,1,1,2015_32760
2016,32760,0,0,1,2016_32760
2017,32760,0,0,1,2017_32760
2013,33010,0,0,1,2013_33010
2013,33030,0,1,1,2013_33030
2014,33030,0,1,1,2014_33030
2015,33030,1,1,1,2015_33030
2016,33030,0,0,0,2016_33030
2017,33030,0,1,1,2017_33030
2013,34400,1,1,1,2013_34400
2014,34400,0,0,0,2014_34400
2015,34400,0,0,0,2015_34400
2016,34400,0,0,0,2016_34400
2017,34400,0,0,1,2017_34400
2013,34460,0,0,0,2013_34460
2014,34460,0,0,1,2014_34460
2016,34460,0,0,1,2016_34460
2017,34460,0,0,0,2017_34460
2013,34510,0,0,0,2013_34510
2014,34510,0,0,0,2014_34510
2015,34510,0,0,0,2015_34510
2016,34510,0,0,0,2016_34510
2017,34510,0,0,0,2017_34510
2013,34520,0,1,1,2013_34520
2014,34520,0,0,1,2014_34520
2015,34520,0,0,0,2015_34520
2016,34520,0,0,0,2016_34520
2017,34520,0,0,1,2017_34520
2013,34650,0,0,0,2013_34650
2014,34650,1,1,1,2014_34650
2015,34650,0,0,0,2015_34650
2016,34650,1,1,1,2016_34650
2013,34700,0,0,0,2013_34700
2014,34700,0,0,0,2014_34700
2015,34700,0,0,0,2015_34700
2016,34700,0,0,0,2016_34700
2017,34700,0,0,0,2017_34700
2013,35700,0,0,0,2013_35700
2014,35700,0,0,1,2014_35700
2015,35700,0,0,0,2015_35700
2016,35700,0,0,0,2016_35700
2017,35700,0,0,0,2017_35700
2013,35820,0,0,0,2013_35820
2014,35820,0,0,0,2014_35820
2015,35820,0,0,0,2015_35820
2016,35820,0,0,0,2016_35820
2017,35820,0,0,0,2017_35820
2013,38090,0,0,0,2013_38090
2015,38090,0,0,1,2015_38090
2016,38090,1,1,1,2016_38090
2017,38090,0,0,1,2017_38090
2013,38200,0,0,0,2013_38200
2014,38200,0,1,1,2014_38200
2015,38200,1,1,1,2015_38200
2013,38240,0,0,0,2013_38240
2014,38240,0,0,0,2014_38240
2015,38240,0,0,0,2015_38240
2016,38240,0,0,0,2016_38240
2017,38240,0,1,1,2017_38240
2015,38260,0,0,0,2015_38260
2013,38350,0,0,0,2013_38350
2014,38350,0,0,0,2014_38350
2015,38350,0,0,0,2015_38350
2016,38350,0,0,1,2016_38350
2017,38350,0,1,1,2017_38350
2013,38390,0,0,1,2013_38390
2014,38390,1,1,1,2014_38390
2015,38390,0,0,0,2015_38390
2016,38390,1,1,1,2016_38390
2017,38390,1,1,1,2017_38390
2013,38480,0,0,1,2013_38480
2013,38510,0,0,0,2013_38510
2014,38510,0,0,0,2014_38510
2015,38510,0,0,0,2015_38510
2016,38510,1,1,1,2016_38510
2017,38510,0,0,1,2017_38510
2017,38550,0,0,1,2017_38550
2014,38650,0,0,1,2014_38650
2013,38670,0,0,1,2013_38670
2014,38670,0,0,1,2014_38670
2015,38670,0,0,0,2015_38670
2016,38670,0,0,0,2016_38670
2017,38670,0,1,1,2017_38670
2013,38680,1,1,1,2013_38680
2014,38680,0,0,1,2014_38680
2015,38680,0,0,0,2015_38680
2016,38680,1,1,1,2016_38680
2017,38680,1,1,1,2017_38680
2013,38690,0,0,0,2013_38690
2015,38690,0,0,1,2015_38690
2016,38690,1,1,1,2016_38690
2013,38740,0,0,0,2013_38740
2014,38740,0,0,0,2014_38740
2015,38740,0,0,0,2015_38740
2016,38740,1,1,1,2016_38740
2017,38740,0,0,0,2017_38740
2013,38870,0,0,0,2013_38870
2014,38870,0,0,0,2014_38870
2015,38870,1,1,1,2015_38870
2016,38870,1,1,1,2016_38870
2017,38870,0,0,1,2017_38870
2014,40020,0,0,0,2014_40020
2015,40020,0,0,1,2015_40020
2015,40080,0,0,0,2015_40080
2013,40090,1,1,1,2013_40090
2014,40090,0,1,1,2014_40090
2015,40090,0,0,0,2015_40090
2016,40090,0,0,0,2016_40090
2017,40090,0,0,1,2017_40090
2014,40110,0,0,0,2014_40110
2015,40110,0,0,0,2015_40110
2016,40110,0,0,0,2016_40110
