,gentrifying_pct_chg_income_homeval_educ,gentrifying_pct_chg_income_homeval,gentrifying_pct_chg_homeval,restaurants,food,shopping,beauty & spas,home services,automotive,american (traditional),nightlife,local services,bars,event planning & services,pizza,health & medical,fast food,active life,sandwiches
643,0,0,0,65,33,56,20,36,22,14,10,23,10,11,9,13,9,10,6
431,0,0,0,1,2,0,3,0,0,0,0,0,0,0,0,0,0,1,0
183,0,0,0,55,14,23,9,3,10,16,7,1,7,13,4,12,9,3,11
175,0,0,1,13,6,1,0,0,0,1,0,0,0,3,1,0,6,0,0
706,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
444,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
500,0,0,0,56,30,42,34,35,26,5,8,26,7,5,6,46,21,10,10
18,0,0,0,4,1,1,0,0,0,0,0,0,0,0,3,0,1,0,1
148,0,0,0,24,14,7,2,3,9,3,4,3,3,0,5,1,2,3,2
126,0,0,0,13,5,4,1,4,0,1,0,1,0,0,4,0,2,1,0
228,0,0,1,59,30,21,4,9,11,16,15,10,12,19,4,6,16,5,7
277,0,0,0,15,2,3,0,3,3,4,0,1,0,7,1,0,4,2,2
100,0,0,0,7,3,0,1,0,0,1,0,0,0,0,4,1,0,0,1
566,0,0,1,8,4,7,2,4,3,1,0,2,0,1,0,4,4,2,2
382,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
180,0,0,0,20,11,5,2,2,2,3,4,0,4,5,2,0,2,0,3
147,0,0,0,13,5,7,3,4,2,4,3,1,3,1,4,0,0,1,0
459,0,0,0,41,25,25,6,32,26,14,14,15,11,16,4,2,10,8,5
134,0,0,1,72,34,8,5,11,4,17,37,4,35,24,14,4,2,10,12
646,0,0,0,80,38,81,37,81,44,15,10,50,10,19,12,22,18,16,10
589,0,0,0,11,7,5,4,9,9,2,3,4,2,2,1,3,6,3,2
318,0,0,1,21,12,4,2,3,2,6,2,3,1,2,3,0,2,0,0
477,0,0,1,160,69,81,42,35,19,21,42,30,40,26,20,20,21,8,20
204,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
16,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0
609,0,0,0,23,11,14,10,9,10,2,2,7,1,5,3,4,4,4,2
201,0,0,0,2,0,3,0,0,3,1,0,1,0,0,0,0,1,0,1
305,0,0,1,2,1,1,0,0,0,0,0,0,0,0,2,2,0,0,0
142,0,0,0,24,9,4,3,8,6,1,3,5,3,0,7,3,3,2,6
328,0,0,1,10,2,4,2,2,1,2,2,2,1,1,1,0,1,1,1
88,0,0,0,8,4,4,0,0,2,2,2,0,2,0,1,0,2,1,2
542,0,0,1,74,34,65,27,40,20,12,18,27,15,14,8,24,12,6,12
572,0,0,1,300,169,193,69,155,130,49,83,102,74,75,35,41,41,71,65
166,0,0,1,49,19,13,5,4,3,10,4,4,4,9,6,6,8,5,9
686,0,0,0,14,8,9,6,9,6,1,4,3,4,1,2,1,4,3,2
498,0,0,1,51,26,42,30,32,23,5,5,17,4,3,6,42,18,6,9
287,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
620,0,0,1,85,43,63,34,45,44,14,10,40,9,15,11,41,28,22,14
419,0,0,1,19,5,11,3,8,17,7,7,1,6,4,0,0,5,2,3
705,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
515,0,0,1,37,13,20,14,3,7,3,3,7,3,2,6,8,9,4,1
12,0,0,0,14,4,6,0,1,2,4,6,2,6,1,4,0,0,0,3
454,0,0,0,236,127,74,35,35,9,38,107,20,102,53,20,18,13,21,27
520,0,0,1,35,13,12,2,9,12,10,4,4,3,7,1,6,10,0,4
207,0,0,1,13,5,0,3,2,0,3,0,1,0,0,3,1,2,1,1
692,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
593,0,0,0,59,40,40,28,26,46,9,4,24,4,11,8,13,22,11,8
613,0,0,0,6,3,10,2,7,7,2,0,8,0,4,0,4,1,2,1
376,0,0,0,20,6,3,1,2,3,7,6,2,6,1,2,3,2,2,3
547,0,0,0,55,32,63,24,41,12,8,7,27,5,17,5,27,12,11,11
640,0,0,0,46,31,111,23,24,16,5,7,20,2,7,2,66,16,5,7
132,0,0,1,60,29,8,5,6,0,14,28,4,24,19,11,2,1,9,6
127,0,0,0,12,5,2,4,3,3,1,0,2,0,0,6,0,2,1,1
545,0,0,1,50,28,47,15,33,11,6,6,25,5,14,6,18,9,15,7
708,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
72,0,0,0,23,10,16,0,5,5,12,5,5,5,3,3,2,3,7,3
42,0,0,0,35,16,7,5,4,6,8,6,5,5,2,7,1,3,3,3
210,0,0,0,17,6,1,3,4,1,4,1,1,1,0,4,2,3,2,2
65,0,0,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
131,0,0,0,52,23,4,4,6,3,10,26,4,22,18,8,2,2,6,6
234,0,0,0,18,8,6,2,9,25,4,3,10,2,1,1,3,2,3,2
417,0,0,0,45,17,15,8,7,5,16,9,2,9,6,7,6,6,3,5
348,0,0,0,60,26,24,9,7,14,9,14,5,12,4,9,5,8,2,4
74,0,0,1,31,15,18,3,8,6,12,6,8,6,4,6,4,4,10,5
78,0,0,0,13,4,1,5,3,2,3,2,3,2,1,5,1,1,1,3
10,0,0,0,8,2,3,0,0,1,2,3,1,3,0,3,0,0,0,2
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
430,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0
674,0,0,1,11,5,6,8,8,6,1,1,3,1,0,3,1,1,4,0
396,0,0,0,5,0,2,0,2,3,1,0,1,0,1,0,2,2,0,1
701,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
460,0,0,0,41,23,26,5,35,28,13,13,15,11,14,4,3,9,9,6
656,0,0,0,47,16,26,6,47,58,7,6,29,5,17,6,9,18,8,6
578,0,0,1,100,48,65,45,59,69,7,24,33,21,10,16,19,20,5,14
437,0,0,0,34,9,10,3,1,8,9,8,2,8,3,8,3,4,1,3
268,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
433,0,0,0,1,1,1,2,0,0,0,0,1,0,0,0,0,0,1,0
304,0,0,1,19,3,4,2,4,0,1,3,1,2,3,3,3,3,1,2
215,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
359,0,0,0,8,3,0,0,1,2,0,0,0,0,1,1,0,1,1,2
77,0,0,0,12,4,0,2,1,0,4,1,1,1,1,5,0,1,1,2
389,0,0,1,27,11,7,2,9,7,3,4,6,4,4,2,2,9,6,2
585,0,0,0,7,3,3,1,5,4,2,2,3,2,0,1,1,4,3,1
