,year,zipcode,gentrifying_pct_chg_income_homeval_educ,gentrifying_no_longer_eligible,gentrifying_pct_chg_income_homeval,gentrifying_pct_chg_homeval
58564,2013,2145,0,0,1,1
60262,2014,2145,0,0,0,1
61729,2015,2145,1,0,1,1
62270,2016,2145,0,0,0,0
62989,2017,2145,0,0,0,0
58275,2013,2148,0,0,0,1
59674,2014,2148,0,0,1,1
61170,2015,2148,0,0,0,1
62131,2016,2148,1,0,1,1
62803,2017,2148,0,0,0,0
56160,2013,2149,0,0,0,1
57442,2014,2149,0,0,1,1
58832,2015,2149,0,0,0,1
59919,2016,2149,1,0,1,1
61106,2017,2149,1,0,1,1
44171,2013,2150,1,0,1,1
46198,2014,2150,1,0,1,1
49198,2015,2150,0,0,0,1
52136,2016,2150,1,0,1,1
54190,2017,2150,0,0,0,1
53427,2013,2151,0,0,0,0
53975,2014,2151,0,0,0,0
55476,2015,2151,0,0,0,0
57282,2016,2151,0,0,0,1
59121,2017,2151,0,0,0,1
64625,2017,2152,0,0,0,0
56616,2013,2189,0,0,0,0
57352,2014,2189,0,0,0,0
58622,2015,2189,0,0,0,0
60283,2016,2189,0,0,0,1
61926,2017,2189,1,0,1,1
59376,2015,2191,0,0,0,1
61081,2016,2191,1,0,1,1
56812,2013,2215,1,0,1,1
58355,2014,2215,0,0,1,1
60291,2015,2215,1,0,1,1
61806,2016,2215,0,0,0,1
62433,2017,2215,0,0,0,0
35529,2013,2301,0,0,0,0
39971,2014,2301,0,0,0,1
45458,2015,2301,0,0,0,1
50770,2016,2301,0,0,1,1
53471,2017,2301,1,0,1,1
33589,2013,2302,0,0,0,0
38032,2014,2302,0,0,0,1
43604,2015,2302,0,0,0,1
48974,2016,2302,1,0,1,1
51765,2017,2302,0,0,0,1
59200,2016,2322,0,0,0,1
60499,2017,2322,0,0,0,1
55221,2013,2330,0,0,1,1
57143,2014,2330,0,0,0,1
58833,2015,2330,0,0,1,1
60231,2016,2330,0,0,0,1
61127,2017,2330,0,0,0,0
55681,2013,2338,0,0,0,0
57148,2014,2338,0,0,1,1
58727,2015,2338,0,0,0,1
60295,2016,2338,1,0,1,1
61404,2017,2338,1,0,1,1
52831,2013,2343,0,0,0,0
53890,2014,2343,0,0,0,0
55583,2015,2343,1,0,1,1
57181,2016,2343,0,0,0,1
59103,2017,2343,0,0,0,1
59578,2016,2346,0,0,0,1
61121,2017,2346,0,0,0,1
61346,2016,2351,0,0,0,1
54533,2013,2368,0,0,0,0
55843,2014,2368,0,0,0,0
57057,2015,2368,0,0,0,0
58543,2016,2368,0,0,0,1
60168,2017,2368,1,0,1,1
54409,2013,2370,1,0,1,1
56023,2014,2370,0,0,0,1
57642,2015,2370,0,0,1,1
59181,2016,2370,0,0,0,1
60557,2017,2370,1,0,1,1
54382,2013,2382,0,0,0,1
57671,2015,2382,0,0,0,1
59032,2016,2382,1,0,1,1
59720,2017,2382,0,0,0,0
53844,2013,2532,0,0,0,0
55629,2014,2532,1,0,1,1
57468,2015,2532,1,0,1,1
60023,2016,2532,1,0,1,1
61616,2017,2532,0,0,1,1
62355,2017,2536,0,0,0,1
40784,2013,2538,0,0,0,1
43677,2014,2538,0,0,1,1
46031,2015,2538,0,0,0,1
47967,2016,2538,1,0,1,1
50121,2017,2538,0,0,0,1
67750,2017,2557,0,0,1,1
58235,2013,2559,0,0,0,0
43941,2013,2571,1,0,1,1
46664,2014,2571,1,0,1,1
49074,2015,2571,0,0,0,1
51125,2016,2571,1,0,1,1
53464,2017,2571,0,0,0,1
41363,2013,2601,0,0,0,0
44323,2014,2601,0,0,1,1
47641,2015,2601,0,0,0,1
51023,2016,2601,0,0,1,1
53906,2017,2601,0,0,1,1
41457,2013,2639,0,0,0,0
44412,2014,2639,0,0,0,1
46591,2015,2639,0,0,0,0
49490,2016,2639,0,0,1,1
52010,2017,2639,0,0,0,1
51608,2014,2660,0,0,0,0
56392,2016,2660,0,0,0,1
48032,2013,2664,0,0,0,0
50263,2014,2664,0,0,0,0
51906,2015,2664,0,0,0,0
53996,2016,2664,0,0,0,0
56186,2017,2664,0,0,1,1
42784,2013,2673,0,0,0,0
44867,2014,2673,0,0,0,0
47388,2015,2673,0,0,0,0
38198,2013,2720,0,0,0,0
40484,2014,2720,0,0,0,1
43666,2015,2720,0,0,1,1
46564,2016,2720,0,0,0,1
48908,2017,2720,0,0,0,0
37077,2013,2721,0,0,0,0
38063,2014,2721,0,0,0,0
40854,2015,2721,0,0,0,0
43655,2016,2721,1,0,1,1
46577,2017,2721,0,0,0,0
33370,2013,2723,0,0,0,0
35946,2014,2723,0,0,1,1
38594,2015,2723,0,0,0,0
40830,2016,2723,0,0,0,0
43341,2017,2723,0,0,0,0
33875,2013,2724,0,0,0,1
36827,2014,2724,0,0,1,1
39760,2015,2724,0,0,0,0
41958,2016,2724,0,0,0,0
44213,2017,2724,0,0,0,0
27850,2013,2740,0,0,0,1
29926,2014,2740,0,0,0,0
32889,2015,2740,0,0,0,0
35717,2016,2740,0,0,0,0
38662,2017,2740,0,0,0,0
27752,2013,2744,0,0,0,1
30594,2014,2744,0,0,0,1
34521,2015,2744,1,0,1,1
38514,2016,2744,0,0,0,1
41700,2017,2744,0,0,0,0
35041,2013,2745,0,0,0,0
37420,2014,2745,0,0,0,0
41093,2015,2745,1,0,1,1
43057,2016,2745,0,0,0,0
45276,2017,2745,0,0,0,0
27191,2013,2746,1,0,1,1
31477,2014,2746,1,0,1,1
35129,2015,2746,0,0,1,1
37865,2016,2746,0,0,0,0
40357,2017,2746,0,0,0,0
38875,2013,2838,0,0,0,1
41401,2014,2838,0,0,0,1
48916,2017,2838,0,0,0,1
42347,2014,2859,0,0,0,1
22427,2013,2860,0,0,1,1
24928,2014,2860,0,0,1,1
28504,2015,2860,1,0,1,1
31894,2016,2860,1,0,1,1
36020,2017,2860,0,0,0,1
27508,2013,2861,0,0,0,1
30226,2014,2861,0,0,0,1
34004,2015,2861,0,0,1,1
36636,2016,2861,0,0,0,0
40196,2017,2861,0,0,0,1
21889,2013,2863,0,0,0,1
23800,2014,2863,0,0,0,0
26868,2015,2863,0,0,0,1
29182,2016,2863,0,0,0,0
32764,2017,2863,0,0,1,1
45321,2014,2885,0,0,0,0
29654,2014,2888,0,0,0,0
27839,2013,2893,0,0,0,1
30349,2014,2893,0,0,0,1
33825,2015,2893,0,0,0,1
37488,2016,2893,1,0,1,1
40893,2017,2893,0,0,0,1
30004,2013,2895,0,0,0,1
32846,2014,2895,0,0,0,1
36699,2015,2895,0,0,1,1
38945,2016,2895,0,0,0,0
42122,2017,2895,0,0,0,0
25271,2013,2903,0,0,0,0
27568,2014,2903,1,0,1,1
27185,2013,2904,1,0,1,1
29211,2014,2904,0,0,0,0
32633,2015,2904,0,0,0,1
36132,2016,2904,0,0,0,1
40210,2017,2904,1,0,1,1
24487,2013,2905,0,0,0,1
26796,2014,2905,0,0,0,1
29782,2015,2905,0,0,0,0
32396,2016,2905,0,0,0,0
36334,2017,2905,0,0,0,1
13738,2013,2907,0,0,0,1
15223,2014,2907,0,0,0,0
17534,2015,2907,0,0,0,0
19356,2016,2907,0,0,0,0
23531,2017,2907,1,0,1,1
21750,2013,2908,0,0,1,1
23832,2014,2908,0,0,0,1
27878,2015,2908,1,0,1,1
30518,2016,2908,0,0,0,0
33907,2017,2908,0,0,0,0
13054,2013,2909,0,0,0,1
15098,2014,2909,0,0,0,1
17836,2015,2909,0,0,0,1
19637,2016,2909,0,0,0,0
22173,2017,2909,0,0,0,0
30355,2013,2914,0,0,0,1
33176,2014,2914,0,0,1,1
36707,2015,2914,0,0,0,1
39352,2016,2914,0,0,0,0
41970,2017,2914,0,0,0,0
43775,2016,2919,0,0,0,0
45972,2017,2919,0,0,0,0
37425,2013,2920,0,0,1,1
39527,2014,2920,0,0,0,0
41996,2015,2920,0,0,0,0
44082,2016,2920,0,0,0,0
47226,2017,2920,0,0,0,1
45983,2013,3038,0,0,0,1
48397,2014,3038,0,0,0,1
50729,2015,3038,0,0,0,1
52373,2016,3038,1,0,1,1
52972,2017,3038,0,0,0,0
51355,2016,3042,0,0,0,0
52335,2017,3042,0,0,0,0
44726,2014,3047,0,0,1,1
47362,2015,3047,0,0,0,0
50093,2016,3047,0,0,1,1
51569,2017,3047,0,0,0,0
39477,2013,3060,0,0,0,0
41864,2014,3060,1,0,1,1
45157,2015,3060,1,0,1,1
47433,2016,3060,0,0,0,1
49917,2017,3060,0,0,1,1
41353,2013,3077,0,0,0,1
44145,2014,3077,1,0,1,1
47675,2015,3077,0,0,0,1
50136,2016,3077,0,0,0,1
51242,2017,3077,0,0,0,0
59049,2017,3079,0,0,0,1
34380,2013,3102,0,0,0,0
36755,2014,3102,0,0,0,0
39667,2015,3102,0,0,0,0
41933,2016,3102,0,0,0,0
44437,2017,3102,1,0,1,1
34901,2013,3103,0,0,0,1
37632,2014,3103,0,0,1,1
40249,2015,3103,0,0,0,0
42291,2016,3103,0,0,0,1
44417,2017,3103,0,0,0,1
44326,2013,3104,0,0,0,1
46512,2014,3104,1,0,1,1
48534,2015,3104,0,0,0,0
50285,2016,3104,0,0,0,1
52240,2017,3104,0,0,0,1
37707,2017,3216,0,0,0,0
19862,2017,3217,0,0,0,1
31537,2013,3220,0,0,0,1
37828,2016,3220,0,0,0,1
41513,2017,3220,0,0,0,1
22747,2013,3230,1,0,1,1
22531,2014,3230,0,0,0,0
26166,2015,3230,0,0,0,1
27572,2016,3230,0,0,0,0
29826,2017,3230,0,0,0,1
40456,2014,3234,0,0,0,0
43280,2015,3234,0,0,0,1
45970,2016,3234,0,0,0,1
47751,2017,3234,0,0,0,1
17631,2013,3235,0,0,0,0
19475,2014,3235,0,0,1,1
21431,2015,3235,0,0,0,0
23860,2016,3235,0,0,1,1
26230,2017,3235,1,0,1,1
26595,2013,3243,0,0,0,1
26155,2014,3243,0,0,0,0
28562,2015,3243,0,0,0,0
31060,2013,3244,1,0,1,1
34234,2014,3244,1,0,1,1
37529,2015,3244,0,0,0,0
39030,2016,3244,0,0,0,0
41209,2017,3244,0,0,0,0
21609,2013,3246,0,0,0,1
23730,2014,3246,1,0,1,1
27112,2015,3246,0,0,0,1
29984,2016,3246,0,0,0,0
33452,2017,3246,0,0,0,0
43916,2013,3261,1,0,1,1
45804,2014,3261,0,0,0,0
28347,2013,3263,0,0,0,0
30433,2014,3263,0,0,0,0
