gentrifying_pct_chg_income_homeval_educ,gentrifying_pct_chg_income_homeval,gentrifying_pct_chg_homeval,restaurants,food,shopping,beauty & spas,home services,automotive,american (traditional),nightlife,local services,bars,event planning & services,pizza,health & medical,fast food,active life,sandwiches
0,0,1,13,6,1,0,0,0,1,0,0,0,3,1,0,6,0,0
0,1,1,15,6,1,1,0,0,1,0,0,0,3,2,1,8,0,2
0,0,0,12,3,0,1,0,1,0,4,0,3,2,0,0,1,0,2
0,0,0,15,9,0,1,1,1,2,3,0,2,4,0,0,2,1,4
0,1,1,17,7,3,3,1,3,3,4,0,3,4,2,0,1,0,3
0,0,0,20,11,5,2,2,2,3,4,0,4,5,2,0,2,0,3
0,0,0,28,15,3,2,2,3,4,6,1,6,6,4,0,7,1,3
0,0,0,41,13,14,6,4,8,13,8,1,8,10,2,4,7,2,6
0,0,0,55,14,23,9,3,10,16,7,1,7,13,4,12,9,3,11
0,0,1,59,18,22,11,4,13,17,10,6,10,12,4,10,11,6,12
0,0,1,67,21,31,20,5,16,17,9,6,9,11,7,21,17,8,10
0,0,1,76,20,38,16,9,20,18,7,9,7,14,8,21,20,8,13
1,1,1,7,1,3,0,0,2,1,0,0,0,2,1,0,1,0,0
1,1,1,8,2,2,0,1,0,2,1,0,1,2,2,0,0,0,0
0,1,1,13,2,3,0,1,2,2,1,0,1,1,3,2,1,1,0
0,0,0,9,3,2,1,1,2,2,1,0,1,1,2,0,0,1,0
0,0,0,12,4,4,1,1,3,1,0,0,0,1,3,3,1,1,1
0,0,1,9,1,1,0,1,1,1,0,1,0,1,2,0,0,0,1
0,0,0,15,5,1,0,1,2,1,0,1,0,4,3,0,2,0,2
0,0,0,20,5,4,2,2,3,6,1,3,1,3,4,1,2,0,2
0,0,0,18,5,3,3,4,3,5,1,2,1,3,2,1,2,0,1
1,1,1,19,6,4,4,1,2,3,1,2,1,5,3,1,3,0,1
0,0,0,3,1,1,0,0,2,0,0,0,0,0,0,0,1,0,2
0,0,1,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1
0,1,1,2,1,2,0,0,2,0,0,0,0,0,0,0,0,0,1
0,0,0,4,0,1,0,0,1,1,0,0,0,0,0,0,2,0,3
0,0,0,2,0,3,0,0,3,1,0,1,0,0,0,0,1,0,1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
1,1,1,8,4,0,3,0,0,3,1,0,1,0,0,0,1,0,0
0,0,1,13,5,0,3,2,0,3,0,1,0,0,3,1,2,1,1
0,1,1,14,5,1,3,2,0,4,1,0,1,1,3,1,2,1,0
0,0,0,13,5,2,2,3,2,3,1,0,1,1,4,0,1,3,0
0,0,0,17,6,1,3,4,1,4,1,1,1,0,4,2,3,2,2
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,4,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0
0,0,0,10,1,1,0,1,0,3,0,1,0,0,0,0,3,1,1
0,0,0,10,1,2,0,0,0,3,0,0,0,0,0,0,3,1,1
0,0,0,107,49,52,26,12,19,13,37,16,31,18,9,6,9,14,16
1,1,1,105,53,53,28,15,25,15,44,14,38,16,11,9,7,17,15
1,1,1,113,61,55,42,23,25,12,47,21,39,18,13,13,10,27,17
1,1,1,133,65,75,39,31,30,11,56,25,48,22,15,18,14,25,17
