year,zipcode,gentrifying_pct_chg_income_homeval_educ,gentrifying_pct_chg_income_homeval,gentrifying_pct_chg_homeval
2013,27565,0,1,1
2013,30663,0,0,0
2013,56201,0,0,0
2013,32703,0,0,0
2013,49849,0,0,1
2013,32703,0,0,0
2013,96021,0,0,0
2013,27288,0,1,1
2013,93618,0,0,0
2013,91950,0,0,1
2013,32703,0,0,0
2013,37327,0,0,0
2013,37055,1,1,1
2013,97362,0,1,1
2013,45885,1,1,1
2013,78028,0,1,1
2013,20740,0,0,0
2013,49221,0,0,0
2013,94112,0,0,0
2013,47348,0,0,0
2013,50158,0,0,0
2013,37055,1,1,1
2013,38351,0,0,0
2013,49849,0,0,1
2013,45365,0,0,1
2013,97386,0,0,1
2013,43764,0,0,1
2013,93280,0,0,1
2013,85350,0,0,1
2013,85350,0,0,1
2013,49221,0,0,0
2013,12010,1,1,1
2013,12010,0,0,0
2013,61866,0,0,0
2013,85132,0,0,0
2013,98584,0,0,0
2013,93210,0,0,0
2013,30223,0,1,1
2013,45133,0,0,0
2013,68025,1,1,1
2013,48161,0,1,1
2013,85350,0,0,1
2013,85350,0,0,1
2013,37184,0,0,0
2013,93210,0,0,0
2013,95076,0,0,0
2013,28625,0,0,1
2013,24450,0,0,0
2013,39654,1,1,1
2013,43420,0,0,0
2013,60545,0,0,0
2013,95076,0,0,0
2013,45133,0,0,0
2013,15666,1,1,1
2013,95076,0,0,0
2013,21601,0,0,0
2013,97362,0,1,1
2013,28625,0,0,1
2013,61434,0,0,0
2013,28334,0,0,1
2013,53190,1,1,1
2013,43420,0,0,0
2013,74437,0,0,0
2013,15650,0,0,0
2013,43420,0,0,0
2013,28208,0,0,1
2013,60160,0,0,0
2013,61434,0,0,0
2013,69101,0,0,0
2013,21853,0,0,1
2013,85132,0,0,0
2013,47170,1,1,1
2013,70535,1,1,1
2013,70570,0,0,1
2013,60545,0,0,0
2013,82501,1,1,1
2013,55414,0,1,1
2013,31822,0,0,1
2013,60160,0,0,0
2013,46701,0,1,1
2013,43420,0,0,0
2013,55974,0,1,1
2013,45882,0,0,1
2013,55974,0,1,1
2013,15417,1,1,1
2013,93280,0,0,1
2013,70570,0,0,1
2013,50158,0,0,0
2013,93927,0,0,0
2013,84015,0,1,1
2013,30533,1,1,1
2013,40218,0,0,0
2013,85132,0,0,0
2013,43420,0,0,0
2013,44041,1,1,1
2013,46701,0,1,1
2013,37110,0,0,0
2013,38343,1,1,1
2013,54751,0,0,0
2013,95817,1,1,1
2013,93927,0,0,0
2013,29720,1,1,1
2013,79556,0,0,1
2013,79556,0,0,1
2013,93060,0,1,1
2013,24066,0,0,0
2013,28334,0,0,1
2013,14551,0,0,0
2013,22701,0,0,1
2013,98568,0,0,1
2013,27886,0,1,1
2013,63136,0,0,0
2013,76055,0,0,0
2013,70570,0,0,1
2013,33312,0,1,1
2013,13642,0,0,0
2013,64836,1,1,1
2013,37857,0,0,0
2013,15531,0,0,0
2013,85364,0,1,1
2013,15531,0,0,0
2013,30228,1,1,1
2013,15944,0,0,0
2013,49058,0,0,1
2013,44312,0,0,1
2013,28334,0,0,1
2013,28792,0,0,0
2013,34113,0,0,0
2013,35031,0,0,0
2013,29720,1,1,1
2013,46962,0,0,0
2013,43138,1,1,1
2013,30125,1,1,1
2013,93620,0,0,0
2013,28021,0,0,0
2013,21601,0,0,0
2013,93610,0,0,0
2013,95023,0,0,0
2013,30228,1,1,1
2013,28334,0,0,1
2013,75496,0,0,0
2013,33312,0,1,1
2013,53963,0,0,0
2013,22701,0,0,1
2013,93280,0,0,1
2013,29720,1,1,1
2013,21701,0,0,0
2013,60034,0,0,0
2013,70570,0,0,1
2013,60034,0,0,0
2013,13045,0,0,0
2013,46962,0,0,0
2013,97230,0,0,0
2013,23430,0,0,0
2013,38382,0,0,0
2013,50158,0,0,0
2013,21234,0,0,0
2013,61866,0,0,0
2013,15650,0,0,0
2013,43113,0,1,1
2013,28334,0,0,1
2013,48161,0,1,1
2013,43420,0,0,0
2013,27603,0,0,0
2013,30233,0,0,1
2013,77833,0,0,1
2013,46970,0,0,1
2013,98568,0,0,1
2013,53215,0,0,1
2013,27028,0,0,1
2013,45356,0,1,1
2013,30233,0,0,1
2013,64836,1,1,1
2013,75243,0,0,0
2013,38382,0,0,0
2013,27521,1,1,1
2013,30528,0,1,1
2013,43138,1,1,1
2013,19136,0,0,0
2013,38382,0,0,0
2013,98531,0,1,1
2013,24151,0,0,0
2013,76009,0,0,1
2013,63136,0,0,0
2013,60632,0,0,1
2013,45365,0,0,1
2013,95023,0,0,0
2013,38860,0,0,0
2013,47167,1,1,1
2013,29720,1,1,1
2013,29069,0,0,0
2013,12550,0,1,1
2013,93927,0,0,0
2013,93060,0,1,1
2013,30228,1,1,1
2013,30233,0,0,1
2013,36551,0,0,0
2013,31822,0,0,1
2013,30125,1,1,1
2013,33309,0,0,1
2013,22701,0,0,1
2013,30228,1,1,1
2013,63116,1,1,1
2013,27886,0,1,1
2013,37190,0,0,0
2013,27521,1,1,1
2013,38057,0,0,0
2013,21601,0,0,0
2013,77833,0,0,1
2013,95023,0,0,0
2013,93622,0,0,0
2013,29720,1,1,1
2013,19720,0,0,0
2013,27886,0,1,1
2013,35115,0,1,1
2013,93622,0,0,0
2013,19952,0,0,1
2013,27886,0,1,1
2013,50158,0,0,0
2013,39194,0,1,1
2013,98848,0,0,0
2013,30233,0,0,1
2013,29440,0,1,1
2013,28146,0,0,0
2013,46761,0,1,1
2013,11901,0,0,1
2013,21601,0,0,0
2013,53110,0,0,1
2013,29069,0,0,0
2013,93247,0,0,1
2013,30533,1,1,1
2013,73446,0,1,1
2013,55420,1,1,1
2013,98812,0,0,0
2013,95020,0,0,0
2013,43420,0,0,0
2013,27704,0,0,0
2013,30228,1,1,1
2013,30263,1,1,1
2013,92054,0,0,1
2013,35115,0,1,1
2013,98812,0,0,0
2013,30228,1,1,1
2013,49849,0,0,1
2013,29069,0,0,0
2013,64836,1,1,1
2013,27606,0,0,0
2013,43521,0,0,1
2013,32091,0,0,0
2013,43420,0,0,0
2013,60457,0,0,1
2013,53061,0,0,1
2013,93280,0,0,1
2013,45133,0,0,0
2013,45882,0,0,1
2013,44833,0,1,1
2013,12090,0,0,1
2013,93210,0,0,0
2013,45882,0,0,1
2013,53190,1,1,1
2013,95076,0,0,0
2013,27522,0,0,1
2013,46701,0,1,1
2013,44041,1,1,1
2013,43521,0,0,1
2013,27288,0,1,1
2013,53190,1,1,1
2013,17257,1,1,1
2013,30223,0,1,1
2013,34956,0,1,1
2013,95020,0,0,0
2013,47946,0,0,1
2013,15650,0,0,0
2013,53105,1,1,1
2013,11901,0,0,1
2013,43420,0,0,0
2013,49274,0,0,0
2013,93210,0,0,0
2013,85132,0,0,0
2013,75453,0,0,0
2013,10940,1,1,1
2013,55021,0,0,1
2013,53105,1,1,1
2013,74437,0,0,0
2013,53520,1,1,1
2013,53214,0,0,1
2013,43420,0,0,0
2013,28607,0,0,0
2013,19122,0,1,1
2013,44041,1,1,1
2013,75453,0,0,0
2013,89119,0,0,0
2013,32703,0,0,0
2013,93930,0,0,0
2013,27522,0,0,1
2013,75424,0,0,1
2013,85132,0,0,0
2013,95076,0,0,0
2013,49221,0,0,0
2013,93247,0,0,1
2013,28334,0,0,1
2013,12090,0,0,1
2013,70570,0,0,1
2013,98356,0,0,1
2013,93662,0,0,0
2013,95076,0,0,0
2013,11901,0,0,1
2013,49221,0,0,0
2013,95023,0,0,0
2013,70570,0,0,1
2013,70535,1,1,1
2013,34142,0,0,0
2013,70570,0,0,1
2013,49221,0,0,0
2013,93930,0,0,0
2013,68025,1,1,1
2013,30663,0,0,0
2013,55395,1,1,1
2013,95076,0,0,0
2013,46001,1,1,1
2013,70535,1,1,1
2013,49221,0,0,0
2013,50311,0,0,1
2013,70570,0,0,1
