,Unnamed: 0,year,zipcode,gentrifying_pct_chg_income_homeval_educ,gentrifying_no_longer_eligible,gentrifying_pct_chg_income_homeval,gentrifying_pct_chg_homeval,key
304,63761,2017,2131,0,0,0,1,2017_21310
305,56191,2013,2136,0,0,0,0,2013_21360
306,57479,2014,2136,1,0,1,1,2014_21360
307,59307,2015,2136,0,0,0,1,2015_21360
308,60425,2016,2136,0,0,0,1,2016_21360
309,61391,2017,2136,0,0,0,1,2017_21360
310,58564,2013,2145,0,0,1,1,2013_21450
311,60262,2014,2145,0,0,0,1,2014_21450
312,61729,2015,2145,1,0,1,1,2015_21450
313,62270,2016,2145,0,0,0,0,2016_21450
314,62989,2017,2145,0,0,0,0,2017_21450
315,58275,2013,2148,0,0,0,1,2013_21480
316,59674,2014,2148,0,0,1,1,2014_21480
317,61170,2015,2148,0,0,0,1,2015_21480
318,62131,2016,2148,1,0,1,1,2016_21480
319,62803,2017,2148,0,0,0,0,2017_21480
320,56160,2013,2149,0,0,0,1,2013_21490
321,57442,2014,2149,0,0,1,1,2014_21490
322,58832,2015,2149,0,0,0,1,2015_21490
323,59919,2016,2149,1,0,1,1,2016_21490
324,61106,2017,2149,1,0,1,1,2017_21490
325,44171,2013,2150,1,0,1,1,2013_21500
326,46198,2014,2150,1,0,1,1,2014_21500
327,49198,2015,2150,0,0,0,1,2015_21500
328,52136,2016,2150,1,0,1,1,2016_21500
329,54190,2017,2150,0,0,0,1,2017_21500
330,53427,2013,2151,0,0,0,0,2013_21510
331,53975,2014,2151,0,0,0,0,2014_21510
332,55476,2015,2151,0,0,0,0,2015_21510
333,57282,2016,2151,0,0,0,1,2016_21510
334,59121,2017,2151,0,0,0,1,2017_21510
335,64625,2017,2152,0,0,0,0,2017_21520
336,56616,2013,2189,0,0,0,0,2013_21890
337,57352,2014,2189,0,0,0,0,2014_21890
338,58622,2015,2189,0,0,0,0,2015_21890
339,60283,2016,2189,0,0,0,1,2016_21890
340,61926,2017,2189,1,0,1,1,2017_21890
341,59376,2015,2191,0,0,0,1,2015_21910
342,61081,2016,2191,1,0,1,1,2016_21910
343,56812,2013,2215,1,0,1,1,2013_22150
344,58355,2014,2215,0,0,1,1,2014_22150
345,60291,2015,2215,1,0,1,1,2015_22150
346,61806,2016,2215,0,0,0,1,2016_22150
347,62433,2017,2215,0,0,0,0,2017_22150
348,35529,2013,2301,0,0,0,0,2013_23010
349,39971,2014,2301,0,0,0,1,2014_23010
350,45458,2015,2301,0,0,0,1,2015_23010
351,50770,2016,2301,0,0,1,1,2016_23010
352,53471,2017,2301,1,0,1,1,2017_23010
353,33589,2013,2302,0,0,0,0,2013_23020
354,38032,2014,2302,0,0,0,1,2014_23020
355,43604,2015,2302,0,0,0,1,2015_23020
356,48974,2016,2302,1,0,1,1,2016_23020
357,51765,2017,2302,0,0,0,1,2017_23020
358,59200,2016,2322,0,0,0,1,2016_23220
359,60499,2017,2322,0,0,0,1,2017_23220
360,55221,2013,2330,0,0,1,1,2013_23300
361,57143,2014,2330,0,0,0,1,2014_23300
362,58833,2015,2330,0,0,1,1,2015_23300
363,60231,2016,2330,0,0,0,1,2016_23300
364,61127,2017,2330,0,0,0,0,2017_23300
365,55681,2013,2338,0,0,0,0,2013_23380
366,57148,2014,2338,0,0,1,1,2014_23380
367,58727,2015,2338,0,0,0,1,2015_23380
368,60295,2016,2338,1,0,1,1,2016_23380
369,61404,2017,2338,1,0,1,1,2017_23380
370,52831,2013,2343,0,0,0,0,2013_23430
371,53890,2014,2343,0,0,0,0,2014_23430
372,55583,2015,2343,1,0,1,1,2015_23430
373,57181,2016,2343,0,0,0,1,2016_23430
374,59103,2017,2343,0,0,0,1,2017_23430
375,59578,2016,2346,0,0,0,1,2016_23460
